timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Shortwave Radiation,Bazylea Precipitation Total,Bazylea Snowfall Amount,Bazylea Relative Humidity [2 m],Bazylea Cloud Cover Total,Bazylea Cloud Cover High [high cld lay],Bazylea Cloud Cover Medium [mid cld lay],Bazylea Cloud Cover Low [low cld lay],Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Speed [10 m],Bazylea Wind Direction [10 m],Bazylea Wind Speed [80 m],Bazylea Wind Direction [80 m],Bazylea Wind Gust,Bazylea Wind Speed [900 mb],Bazylea Wind Direction [900 mb]
20211121T1000,5.4305286,60.0,210.93,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1013.8,2.1897945,99.46232,2.0991426,120.96376,11.5199995,29.88217,269.30972
20211121T1100,7.2805285,60.0,304.38,0.0,0.0,64.0,0.0,0.0,0.0,0.0,1013.3,4.5536795,288.43497,4.0249224,280.30487,11.159999,30.259275,272.0454
20211121T1200,9.100529,60.0,361.34,0.0,0.0,63.0,0.0,0.0,0.0,0.0,1012.4,11.27553,286.69925,11.090103,283.13403,16.56,30.54701,278.1301
20211121T1300,9.940529,59.425533,375.58,0.0,0.0,62.0,0.90000004,3.0,0.0,0.0,1011.0,13.627795,282.20047,14.264361,280.1755,18.359999,29.301876,280.61966
20211121T1400,10.440529,56.744682,348.88,0.0,0.0,59.0,5.1000004,17.0,0.0,0.0,1010.8,9.339208,297.55283,9.339208,297.55283,17.64,23.623243,277.88315
20211121T1500,10.520529,56.361702,275.01,0.0,0.0,59.0,5.7000003,19.0,0.0,0.0,1010.7,9.983106,295.64102,10.30883,294.77515,16.919998,22.101183,282.22513
20211121T1600,9.980529,40.212765,163.76,0.0,0.0,60.0,31.0,32.0,31.0,0.0,1010.8,8.39657,300.96378,11.298495,300.6507,14.4,19.483284,286.09082
20211121T1700,8.790529,21.960638,34.71,0.0,0.0,64.0,52.0,39.0,52.0,0.0,1011.5,8.404285,313.26428,14.021525,311.87787,10.799999,16.746773,295.46335
20211121T1800,7.790529,0.0,0.0,0.0,0.0,68.0,79.0,40.0,79.0,0.0,1012.0,7.42159,309.09387,13.896187,323.427,10.440001,13.18308,304.99203
20211121T1900,6.9305286,0.0,0.0,0.0,0.0,71.0,100.0,100.0,100.0,0.0,1011.9,7.42159,309.09387,14.587776,344.24884,12.959999,10.691453,315.0
20211121T2000,6.1205287,0.0,0.0,0.0,0.0,72.0,100.0,64.0,100.0,0.0,1011.4,7.7043357,322.59467,16.311613,337.96378,9.72,9.6932955,344.93152
20211121T2100,5.3505287,0.0,0.0,0.0,0.0,76.0,100.0,100.0,100.0,0.0,1012.9,7.289445,302.90524,13.217443,330.64227,12.599999,7.2805495,351.46924
20211121T2200,5.1805286,0.0,0.0,0.0,0.0,77.0,100.0,100.0,100.0,100.0,1013.1,6.9247384,297.89728,8.435069,309.80557,11.879999,4.3349743,355.23636
20211121T2300,5.2205286,0.0,0.0,0.0,0.0,76.0,100.0,100.0,100.0,100.0,1013.1,5.6920996,288.43497,6.6087217,299.35776,7.92,2.6208394,164.0546
20211122T0000,5.040529,0.0,0.0,0.0,0.0,78.0,100.0,55.0,100.0,100.0,1013.2,4.5820518,315.0,5.1919937,326.30994,5.04,7.8954163,133.15239
20211122T0100,4.8605285,0.0,0.0,0.0,0.0,81.0,100.0,30.0,100.0,100.0,1013.1,3.5455887,336.0375,3.671294,348.69006,5.04,9.826088,98.42697
20211122T0200,4.5905285,0.0,0.0,0.1,0.0,85.0,100.0,79.0,100.0,100.0,1014.2,4.8433046,318.01282,6.9247384,332.10272,6.4799995,11.503113,69.86369
20211122T0300,4.3205285,0.0,0.0,0.0,0.0,85.0,100.0,54.0,100.0,100.0,1014.3,6.489992,303.69006,8.161764,311.42368,6.8399997,10.308831,77.905235
20211122T0400,3.9705286,0.0,0.0,0.0,0.0,84.0,100.0,6.0,100.0,100.0,1014.7,5.6233797,320.19443,7.7043357,322.59467,6.8399997,12.783802,80.272415
20211122T0500,3.7105286,0.0,0.0,0.0,0.0,84.0,100.0,0.0,87.0,100.0,1015.1,4.39436,325.008,6.193674,324.46234,8.64,16.09969,79.695145
20211122T0600,3.7505286,0.0,0.0,0.0,0.0,84.0,100.0,17.0,91.0,100.0,1015.7,3.319036,319.3987,4.198285,329.03625,8.28,17.727943,60.832375
20211122T0700,3.8105285,0.0,0.0,0.0,0.0,84.0,100.0,21.0,79.0,100.0,1016.4,3.563818,315.0,4.3349743,311.63354,3.96,19.245697,82.47618
20211122T0800,3.7905285,0.0,0.0,0.0,0.0,86.0,100.0,17.0,74.0,100.0,1016.7,4.510787,331.38956,5.634891,333.43497,10.799999,25.050413,82.56859
20211122T0900,4.3505287,0.0,51.62,0.0,0.0,84.0,100.0,0.0,54.0,100.0,1018.0,3.319036,12.528809,1.835647,11.309921,15.119999,34.62369,81.02737
20211122T1000,5.4905286,0.0,163.76,0.0,0.0,79.0,100.0,16.0,0.0,100.0,1017.9,4.198285,59.036232,2.968636,75.96376,13.679999,39.875587,83.25994
20211122T1100,7.2405286,37.02128,296.37,0.0,0.0,69.0,36.0,8.0,0.0,36.0,1018.1,9.693296,58.671295,8.587338,56.976128,18.359999,32.933605,74.14063
20211122T1200,9.110529,0.0,331.97,0.0,0.0,58.0,100.0,2.0,0.0,100.0,1017.5,16.263872,62.30053,18.043148,61.38954,20.880001,25.925,64.50246
20211122T1300,9.910529,0.0,271.44998,0.0,0.0,56.0,100.0,0.0,0.0,100.0,1017.7,19.164717,61.99083,21.261345,61.699234,22.68,28.174458,63.43495
20211122T1400,9.440529,0.0,169.98999,0.0,0.0,60.0,100.0,0.0,0.0,100.0,1017.4,10.787993,25.709946,10.30883,24.775131,24.119999,33.168877,64.269295
20211122T1500,8.910529,0.0,121.93,0.0,0.0,65.0,100.0,0.0,0.0,100.0,1018.0,12.7279215,44.999985,12.768586,49.573914,23.759998,29.949316,64.358986
20211122T1600,8.740529,0.0,72.979996,0.0,0.0,62.0,100.0,0.0,0.0,100.0,1019.6,17.429354,51.70984,22.26768,55.539177,27.0,38.243114,67.29716
20211122T1700,7.6105285,0.0,15.13,0.0,0.0,62.0,100.0,0.0,0.0,100.0,1020.4,16.135872,51.34018,23.979893,54.16234,29.16,43.034687,70.95876
20211122T1800,6.6305285,0.0,0.0,0.0,0.0,67.0,100.0,0.0,0.0,100.0,1020.8,13.237038,44.999985,20.592503,53.53076,27.72,49.708687,77.87626
20211122T1900,6.1705284,0.0,0.0,0.0,0.0,70.0,100.0,0.0,0.0,100.0,1021.4,11.200571,44.999985,18.0,53.130096,26.64,51.682262,79.15969
20211122T2000,5.3805285,0.0,0.0,0.0,0.0,73.0,56.0,0.0,0.0,56.0,1022.0,10.233123,39.2894,16.563911,47.642548,25.919998,52.14162,80.86285
20211122T2100,3.8505285,0.0,0.0,0.0,0.0,81.0,13.0,0.0,0.0,13.0,1022.7,9.178235,25.559967,14.003028,46.041626,25.56,53.42696,85.74934
20211122T2200,2.3605285,0.0,0.0,0.0,0.0,89.0,11.0,0.0,0.0,11.0,1024.2,9.107359,18.434952,13.755579,47.121094,21.24,57.33162,86.7603
20211122T2300,1.7805287,0.0,0.0,0.0,0.0,90.0,4.0,0.0,0.0,4.0,1024.6,8.766573,19.179016,13.493999,43.919083,26.64,59.404366,89.305534
20211123T0000,1.1305287,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1023.5,8.089993,20.854446,12.768586,49.573914,22.68,61.576836,91.34
20211123T0100,1.0605286,0.0,0.0,0.0,0.0,90.0,3.0,0.0,0.0,3.0,1024.4,6.3690495,42.70938,10.483357,74.054596,24.48,66.0725,94.374756
20211123T0200,2.7505286,0.0,0.0,0.0,0.0,81.0,28.0,0.0,0.0,28.0,1024.1,10.538843,7.853302,17.651016,11.76828,20.519999,46.315647,78.3407
20211123T0300,1.4905287,0.0,0.0,0.0,0.0,86.0,63.0,0.0,0.0,63.0,1024.2,8.373386,25.463333,13.849477,62.102737,23.759998,53.65087,88.84655
20211123T0400,0.25052866,0.0,0.0,0.0,0.0,91.0,100.0,0.0,0.0,100.0,1024.6,10.00256,30.256424,16.870138,50.194427,21.24,61.957664,91.99788
20211123T0500,1.1205287,0.0,0.0,0.0,0.0,84.0,100.0,0.0,0.0,100.0,1024.2,9.360001,22.619858,11.592894,53.841812,25.919998,63.050377,92.2906
20211123T0600,0.60052866,0.0,0.0,0.0,0.0,85.0,100.0,0.0,0.0,100.0,1024.9,6.5693827,9.462311,2.9024127,60.25511,24.84,63.866276,93.87852
20211123T0700,-1.8294713,0.0,0.0,0.0,0.0,93.0,100.0,0.0,0.0,100.0,1026.3,9.028754,336.50146,5.1165614,309.2894,27.359999,62.346554,92.64762
